"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"S100A12",0,1.83299861476728,0.753,0.319,0
"S100A8",0,1.73996061435883,0.997,0.973,0
"RP11-1143G9.4",0,1.68783860407667,0.839,0.704,0
"S100A9",0,1.48176689019299,0.991,0.952,0
"LYZ",0,1.44174038025286,0.997,0.958,0
"FOS",0,0.596777666076449,0.971,0.938,0
"AIF1",0,-0.529565734878326,0.924,0.987,0
"FCER1G",0,-0.54033493003801,0.893,0.985,0
"SAT1",0,-0.688017053281778,0.871,0.988,0
"CD79B",0,-0.731017883718621,0.021,0.211,0
"RPS19",0,-0.770817740278166,0.971,0.999,0
"LST1",0,-0.798223533927124,0.9,0.992,0
"IFITM1",0,-0.964935835989607,0.023,0.271,0
"RP11-290F20.3",0,-0.995307632181353,0.312,0.758,0
"C1QA",0,-1.06430604208728,0.018,0.202,0
"HES4",0,-1.08991522739156,0.019,0.303,0
"IFITM2",0,-1.15448320058041,0.442,0.877,0
"LYPD2",0,-1.17895243404148,0.01,0.167,0
"MS4A7",0,-1.19222514446441,0.149,0.594,0
"IFITM3",0,-1.23131305467361,0.344,0.805,0
"CDKN1C",0,-1.34205876500752,0.024,0.405,0
"RHOC",0,-1.39897999142686,0.062,0.522,0
"FCGR3A",0,-1.98427810411288,0.062,0.73,0
"NAP1L1",2.63174015779454e-305,-0.829134854020453,0.319,0.704,6.55671742912932e-301
"COTL1",5.68456739615006e-305,-0.642967469341093,0.684,0.923,1.41625312107683e-300
"FTH1",6.18379513570664e-287,-0.344562537627773,0.996,1,1.54063072010995e-282
"LTB",9.40725503023889e-272,-0.745707271484977,0.052,0.266,2.34372351823372e-267
"FTL",6.09944360792885e-265,-0.279940409669249,0.999,1,1.51961538047939e-260
"LY6E",1.36384452589094e-256,-0.756420968836809,0.273,0.627,3.3978822518047e-252
"GPX1",2.49494872666428e-249,0.85861953062993,0.757,0.54,6.21591525761139e-245
"VCAN",2.39094124462416e-244,1.23431448921739,0.567,0.211,5.95679101685662e-240
"TCF7L2",1.60970164787199e-235,-0.662058332020748,0.039,0.218,4.01041068550829e-231
"HLA-DPA1",1.43690162314039e-233,-0.699051373897861,0.47,0.79,3.57989670389197e-229
"DRAP1",5.74150284266943e-232,-0.720189123590084,0.257,0.585,1.43043801822266e-227
"TUBA1B",7.90534167024057e-231,-0.754077117252122,0.166,0.46,1.96953682372374e-226
"ACTB",2.67692315679572e-228,-0.315418209347984,0.984,0.998,6.66928635284087e-224
"MALAT1",3.29159407921924e-228,-0.274172855798366,1,1,8.20067748896681e-224
"ABI3",2.10521707952223e-227,-0.670150842050995,0.068,0.283,5.24493783192168e-223
"CKB",7.81574140713203e-226,-0.449564605142947,0.007,0.102,1.94721381417288e-221
"BATF3",4.31742050185088e-225,-0.575623839305814,0.021,0.158,1.07564214383113e-220
"EVL",5.33783960689686e-214,-0.626454870221643,0.041,0.213,1.32986935966228e-209
"ADA",2.16636661110903e-204,-0.492121100652496,0.013,0.123,5.39728577491705e-200
"RPLP1",2.43112915504037e-202,0.319315121917542,0.988,0.994,6.05691517686759e-198
"PFN1",2.47992016396626e-202,-0.384662937070287,0.9,0.974,6.17847309650554e-198
"MS4A4A",4.21363691527767e-202,-0.527805377137295,0.022,0.153,1.04978550107228e-197
"YBX1",5.13228473053698e-199,-0.569219880186784,0.514,0.814,1.27865741776598e-194
"CD52",1.16274667454309e-190,-0.49818644805634,0.82,0.955,2.89686706495665e-186
"RNU1-60P",6.04787481099415e-187,1.28789124833053,0.564,0.291,1.50676753041108e-182
"LGALS2",1.1889572738759e-186,1.05809248866322,0.588,0.325,2.96216815213441e-182
"CTSL",6.1510600102064e-186,-0.50548113427313,0.023,0.15,1.53247509094282e-181
"MS4A6A",6.15339361000526e-183,0.975951573968135,0.571,0.283,1.53305648399671e-178
