gene_ids moduleColors
ENSG00000000419.12 turquoise
ENSG00000000457.14 bisque4
ENSG00000000460.17 brown
ENSG00000000938.13 skyblue3
ENSG00000001036.13 red
ENSG00000001084.12 blue
ENSG00000001167.14 darkorange2
ENSG00000001461.17 greenyellow
ENSG00000001497.16 darkolivegreen
ENSG00000001561.7 grey60
ENSG00000001629.10 blue
ENSG00000001630.17 orangered3
ENSG00000001631.15 plum1
ENSG00000002016.17 blue
ENSG00000002330.13 grey60
ENSG00000002549.12 red
ENSG00000002586.20 grey60
ENSG00000002586.20_PAR_Y grey60
ENSG00000002822.15 blue
ENSG00000002834.18 greenyellow
ENSG00000002919.14 turquoise
ENSG00000002933.9 turquoise
ENSG00000003056.8 blue
ENSG00000003147.19 turquoise
ENSG00000003393.15 cyan
ENSG00000003400.14 pink
ENSG00000003402.20 brown
ENSG00000003436.16 yellowgreen
ENSG00000003509.16 green
ENSG00000003756.16 turquoise
ENSG00000003987.14 orange
ENSG00000004059.11 white
ENSG00000004139.14 tan
ENSG00000004142.12 brown
ENSG00000004399.12 saddlebrown
ENSG00000004455.16 blue
ENSG00000004468.13 red
ENSG00000004478.8 blue
ENSG00000004487.16 darkolivegreen
ENSG00000004534.15 cyan
ENSG00000004660.14 turquoise
ENSG00000004700.16 turquoise
ENSG00000004766.17 darkgreen
ENSG00000004777.18 turquoise
ENSG00000004779.10 darkmagenta
ENSG00000004799.8 grey60
ENSG00000004809.14 blue
ENSG00000004864.13 green
ENSG00000004866.20 thistle1
ENSG00000004897.12 turquoise
ENSG00000004961.15 turquoise
ENSG00000004975.12 blue
ENSG00000005007.12 turquoise
ENSG00000005020.13 blue
ENSG00000005022.6 turquoise
ENSG00000005059.16 red
ENSG00000005075.15 darkgreen
ENSG00000005100.13 brown
ENSG00000005156.11 blue
ENSG00000005175.10 red
ENSG00000005187.12 firebrick4
ENSG00000005194.15 turquoise
ENSG00000005206.17 brown
ENSG00000005238.19 grey60
ENSG00000005243.10 grey60
ENSG00000005249.13 yellowgreen
ENSG00000005302.18 coral2
ENSG00000005339.14 tan
ENSG00000005379.17 red
ENSG00000005381.7 darkgrey
ENSG00000005436.13 darkred
ENSG00000005448.16 brown
ENSG00000005469.11 turquoise
ENSG00000005483.20 darkorange2
ENSG00000005486.17 grey60
ENSG00000005700.15 salmon
ENSG00000005801.18 blue
ENSG00000005810.18 salmon
ENSG00000005812.11 turquoise
ENSG00000005844.17 navajowhite2
ENSG00000005882.11 salmon
ENSG00000005889.15 grey60
ENSG00000005893.15 black
ENSG00000005961.18 yellowgreen
ENSG00000006007.12 blue
ENSG00000006015.17 turquoise
ENSG00000006016.11 red
ENSG00000006025.12 lightyellow
ENSG00000006062.16 bisque4
ENSG00000006118.14 pink
ENSG00000006125.18 grey60
ENSG00000006194.10 grey60
ENSG00000006282.21 turquoise
ENSG00000006327.13 turquoise
ENSG00000006451.8 turquoise
ENSG00000006453.14 green
ENSG00000006459.11 black
ENSG00000006530.17 blue
ENSG00000006534.16 black
ENSG00000006576.16 turquoise
ENSG00000006607.14 turquoise
ENSG00000006625.18 turquoise
ENSG00000006634.8 turquoise
ENSG00000006652.14 skyblue2
ENSG00000006695.11 blue
ENSG00000006712.15 darkolivegreen
ENSG00000006715.16 blue
ENSG00000006744.19 purple
ENSG00000006756.16 brown
ENSG00000006757.12 green
ENSG00000006831.10 grey60
ENSG00000007038.11 turquoise
ENSG00000007047.15 grey60
ENSG00000007080.11 cyan
ENSG00000007129.18 red
ENSG00000007168.13 midnightblue
ENSG00000007202.15 greenyellow
ENSG00000007237.18 grey60
ENSG00000007255.10 plum1
ENSG00000007312.12 blue
ENSG00000007341.19 plum2
ENSG00000007376.8 orange
ENSG00000007392.16 purple
ENSG00000007520.4 darkturquoise
ENSG00000007541.16 black
ENSG00000007545.15 bisque4
ENSG00000007923.16 blue
ENSG00000007944.15 turquoise
ENSG00000007968.7 coral1
ENSG00000008018.9 darkmagenta
ENSG00000008083.14 turquoise
ENSG00000008086.11 greenyellow
ENSG00000008128.23 turquoise
ENSG00000008130.15 red
ENSG00000008226.19 green
ENSG00000008256.16 grey60
ENSG00000008282.8 grey60
ENSG00000008283.16 red
ENSG00000008294.21 turquoise
ENSG00000008300.17 grey60
ENSG00000008323.15 grey60
ENSG00000008324.11 turquoise
ENSG00000008382.15 plum1
ENSG00000008394.13 black
ENSG00000008405.12 skyblue
ENSG00000008441.16 red
ENSG00000008513.16 midnightblue
ENSG00000008516.17 turquoise
ENSG00000008710.19 darkseagreen4
ENSG00000008838.20 brown
ENSG00000008853.16 steelblue
ENSG00000008869.12 brown
ENSG00000008952.17 grey60
ENSG00000008988.9 green
ENSG00000009307.16 grey60
ENSG00000009335.18 black
ENSG00000009413.15 salmon
ENSG00000009694.13 turquoise
ENSG00000009724.16 coral2
ENSG00000009780.15 turquoise
ENSG00000009790.15 blue
ENSG00000009830.11 blue
ENSG00000009844.16 green
ENSG00000009954.11 turquoise
ENSG00000010017.13 darkorange2
ENSG00000010030.14 red
ENSG00000010072.16 turquoise
ENSG00000010165.20 grey60
ENSG00000010219.13 green
ENSG00000010244.18 lightpink4
ENSG00000010256.11 darkmagenta
ENSG00000010270.13 royalblue
ENSG00000010278.14 blue
ENSG00000010292.13 brown
ENSG00000010295.19 black
ENSG00000010318.21 green
ENSG00000010322.16 plum
ENSG00000010327.10 turquoise
ENSG00000010361.13 turquoise
ENSG00000010404.18 saddlebrown
ENSG00000010539.11 turquoise
ENSG00000010610.10 tan
ENSG00000010626.15 grey60
ENSG00000010671.15 coral2
ENSG00000010704.18 brown
ENSG00000010803.16 brown
ENSG00000010810.17 blue
ENSG00000010818.10 blue
ENSG00000011007.12 turquoise
ENSG00000011009.11 black
ENSG00000011021.23 skyblue
ENSG00000011052.21 turquoise
ENSG00000011105.14 yellowgreen
ENSG00000011114.15 grey60
ENSG00000011132.12 brown
ENSG00000011143.16 blue
ENSG00000011198.9 turquoise
ENSG00000011243.18 blue
ENSG00000011258.16 lightyellow
ENSG00000011260.14 turquoise
ENSG00000011275.18 green
ENSG00000011295.16 salmon
ENSG00000011304.20 plum
ENSG00000011376.11 blue
ENSG00000011405.13 turquoise
ENSG00000011422.12 turquoise
ENSG00000011426.11 lightcyan1
ENSG00000011451.19 tan
ENSG00000011454.17 thistle1
ENSG00000011478.12 ivory
ENSG00000011485.14 blue
ENSG00000011523.14 darkred
ENSG00000011566.15 turquoise
ENSG00000011600.11 darkgreen
ENSG00000011638.10 grey60
ENSG00000012048.22 turquoise
ENSG00000012061.15 darkred
ENSG00000012124.17 brown
ENSG00000012174.12 greenyellow
ENSG00000012211.13 turquoise
ENSG00000012232.8 grey60
ENSG00000012660.14 greenyellow
ENSG00000012779.11 blue
ENSG00000012817.15 darkolivegreen
ENSG00000012822.16 purple
ENSG00000012963.15 bisque4
ENSG00000012983.11 black
ENSG00000013016.16 brown
ENSG00000013275.7 purple
ENSG00000013288.8 grey60
ENSG00000013306.16 lightcyan1
ENSG00000013364.19 red
ENSG00000013374.16 red
ENSG00000013375.16 turquoise
ENSG00000013392.8 grey60
ENSG00000013441.16 pink
ENSG00000013503.10 blue
ENSG00000013523.9 grey60
ENSG00000013561.18 thistle1
ENSG00000013563.14 brown
ENSG00000013573.17 turquoise
ENSG00000013583.10 mediumpurple2
ENSG00000013810.19 antiquewhite4
ENSG00000014123.10 grey60
ENSG00000014138.9 blue
ENSG00000014164.7 turquoise
ENSG00000014216.15 plum
ENSG00000014257.16 blue
ENSG00000014641.18 lavenderblush3
ENSG00000014824.14 brown
ENSG00000014914.21 turquoise
ENSG00000014919.12 brown
ENSG00000015133.19 pink
ENSG00000015153.14 lightpink4
ENSG00000015171.19 brown
ENSG00000015285.10 red
ENSG00000015475.18 darkmagenta
ENSG00000015479.18 blue
ENSG00000015532.9 brown
ENSG00000015568.13 brown
ENSG00000015676.18 brown
ENSG00000016864.18 brown
ENSG00000017260.19 turquoise
ENSG00000017797.13 midnightblue
ENSG00000018189.13 red
ENSG00000018280.17 blue
ENSG00000018510.15 brown
ENSG00000018610.14 sienna3
ENSG00000018699.13 blue
ENSG00000018869.16 turquoise
ENSG00000019102.12 blue
ENSG00000019169.10 coral1
ENSG00000019485.13 blue
ENSG00000019582.15 purple
ENSG00000019991.17 brown
ENSG00000019995.6 grey60
ENSG00000020129.16 brown
