metavar,cluster,gene,statistic,p.value,FDR
dx,all,AASDH,19,0.372727272727273,0.474032634032634
dx,all,ABCA1,19,0.372727272727273,0.474032634032634
dx,all,ABCE1,19,0.372727272727273,0.474032634032634
dx,all,ABHD12,19,0.372727272727273,0.474032634032634
dx,all,ABHD2,20,0.281818181818182,0.474032634032634
dx,all,ABHD5,19,0.372727272727273,0.474032634032634
dx,all,ABI3,21,0.209090909090909,0.474032634032634
dx,all,ABL2,19,0.372727272727273,0.474032634032634
dx,all,ABLIM3,19,0.372727272727273,0.474032634032634
dx,all,ACBD3,19,0.372727272727273,0.474032634032634
dx,all,ACBD5,20,0.281818181818182,0.474032634032634
dx,all,ACN9,19,0.372727272727273,0.474032634032634
dx,all,ACPL2,20,0.281818181818182,0.474032634032634
dx,all,ACRBP,19,0.372727272727273,0.474032634032634
dx,all,ACSS2,19,0.372727272727273,0.474032634032634
dx,all,ACTA2,23,0.1,0.474032634032634
dx,all,ACTB,11,0.727272727272727,0.761831621388116
dx,all,ACVR1B,23,0.1,0.474032634032634
dx,all,ACY3,21,0.209090909090909,0.474032634032634
dx,all,ADA,18,0.481818181818182,0.557067175248993
dx,all,ADAL,19,0.372727272727273,0.474032634032634
dx,all,ADAM19,12,0.863636363636364,0.884135472370766
dx,all,ADAMDEC1,19,0.372727272727273,0.474032634032634
dx,all,ADAP2,19,0.372727272727273,0.474032634032634
dx,all,ADCK2,21,0.209090909090909,0.474032634032634
dx,all,ADCY3,23,0.1,0.474032634032634
dx,all,ADIPOR2,19,0.372727272727273,0.474032634032634
dx,all,ADK,19,0.372727272727273,0.474032634032634
dx,all,ADM,23,0.1,0.474032634032634
dx,all,ADORA2B,10,0.6,0.650491803278689
dx,all,ADPRHL2,19,0.372727272727273,0.474032634032634
dx,all,ADRA2B,19,0.372727272727273,0.474032634032634
dx,all,ADRB1,17,0.6,0.650491803278689
dx,all,AGA,19,0.372727272727273,0.474032634032634
dx,all,AGBL2,23,0.1,0.474032634032634
dx,all,AGFG2,3,0.0636363636363636,0.474032634032634
dx,all,AGO1,19,0.372727272727273,0.474032634032634
dx,all,AGPAT4,19,0.372727272727273,0.474032634032634
dx,all,AHI1,19,0.372727272727273,0.474032634032634
dx,all,AHSA2,21,0.209090909090909,0.474032634032634
dx,all,AIF1,14,1,1
dx,all,AIFM1,19,0.372727272727273,0.474032634032634
dx,all,AIFM2,18,0.481818181818182,0.557067175248993
dx,all,AK8,10,0.6,0.650491803278689
dx,all,AKAP11,20,0.281818181818182,0.474032634032634
dx,all,AKIRIN1,20,0.281818181818182,0.474032634032634
dx,all,AKR1B1,19,0.372727272727273,0.474032634032634
dx,all,AKR1E2,23,0.1,0.474032634032634
dx,all,AKT2,20,0.281818181818182,0.474032634032634
dx,all,AKT3,23,0.1,0.474032634032634
dx,all,ALAD,19,0.372727272727273,0.474032634032634
dx,all,ALDH1A1,19,0.372727272727273,0.474032634032634
dx,all,ALDH4A1,21,0.209090909090909,0.474032634032634
dx,all,ALDH6A1,18,0.481818181818182,0.557067175248993
dx,all,ALMS1,20,0.281818181818182,0.474032634032634
dx,all,ALOX5AP,10,0.6,0.650491803278689
dx,all,AMBRA1,20,0.281818181818182,0.474032634032634
dx,all,ANAPC7,18,0.481818181818182,0.557067175248993
dx,all,ANG,20,0.281818181818182,0.474032634032634
dx,all,ANKDD1A,20,0.281818181818182,0.474032634032634
dx,all,ANKRD22,14,1,1
dx,all,ANKRD26,19,0.372727272727273,0.474032634032634
dx,all,ANKRD28,17,0.6,0.650491803278689
dx,all,ANKRD32,20,0.281818181818182,0.474032634032634
