metavar,cluster,gene,statistic,p.value,FDR
dx,1,AASDH,2,1,1
dx,1,ABCA1,2,1,1
dx,1,ABCE1,2,1,1
dx,1,ABHD12,2,1,1
dx,1,ABHD2,2,1,1
dx,1,ABHD5,2,1,1
dx,1,ABI3,2,1,1
dx,1,ABL2,2,1,1
dx,1,ABLIM3,2,1,1
dx,1,ACBD3,2,1,1
dx,1,ACBD5,2,1,1
dx,1,ACN9,2,1,1
dx,1,ACPL2,2,1,1
dx,1,ACRBP,2,1,1
dx,1,ACSS2,2,1,1
dx,1,ACTA2,2,1,1
dx,1,ACTB,1,1,1
dx,1,ACVR1B,2,1,1
dx,1,ACY3,2,1,1
dx,1,ADA,2,1,1
dx,1,ADAL,2,1,1
dx,1,ADAM19,2,1,1
dx,1,ADAMDEC1,2,1,1
dx,1,ADAP2,2,1,1
dx,1,ADCK2,2,1,1
dx,1,ADCY3,2,1,1
dx,1,ADIPOR2,2,1,1
dx,1,ADK,2,1,1
dx,1,ADM,2,1,1
dx,1,ADORA2B,1,1,1
dx,1,ADPRHL2,2,1,1
dx,1,ADRA2B,2,1,1
dx,1,ADRB1,2,1,1
dx,1,AGA,2,1,1
dx,1,AGBL2,2,1,1
dx,1,AGFG2,0,0.5,1
dx,1,AGO1,2,1,1
dx,1,AGPAT4,2,1,1
dx,1,AHI1,2,1,1
dx,1,AHSA2,2,1,1
dx,1,AIF1,1,1,1
dx,1,AIFM1,2,1,1
dx,1,AIFM2,2,1,1
dx,1,AK8,1,1,1
dx,1,AKAP11,2,1,1
dx,1,AKIRIN1,2,1,1
dx,1,AKR1B1,2,1,1
dx,1,AKR1E2,2,1,1
dx,1,AKT2,2,1,1
dx,1,AKT3,2,1,1
dx,1,ALAD,2,1,1
dx,1,ALDH1A1,2,1,1
dx,1,ALDH4A1,2,1,1
dx,1,ALDH6A1,2,1,1
dx,1,ALMS1,2,1,1
dx,1,ALOX5AP,1,1,1
dx,1,AMBRA1,2,1,1
dx,1,ANAPC7,2,1,1
dx,1,ANG,2,1,1
dx,1,ANKDD1A,2,1,1
dx,1,ANKRD22,1,1,1
dx,1,ANKRD26,2,1,1
dx,1,ANKRD28,2,1,1
dx,1,ANKRD32,2,1,1
dx,1,ANKRD37,2,1,1
dx,1,ANKRD46,2,1,1
dx,1,ANO10,2,1,1
dx,1,ANXA1,3,0.5,1
dx,1,ANXA2,3,0.5,1
dx,1,ANXA2R,2,1,1
dx,1,AP1S3,2,1,1
dx,1,AP3M1,2,1,1
dx,1,AP5M1,2,1,1
dx,1,APBB3,2,1,1
dx,1,API5,2,1,1
dx,1,APOA1,2,1,1
dx,1,APOBEC3A,3,0.5,1
dx,1,APOBEC3B,2,1,1
dx,1,APOBEC3C,2,1,1
dx,1,APOBEC3G,2,1,1
dx,1,APOE,2,1,1
dx,1,APOL2,2,1,1
dx,1,APOL3,2,1,1
dx,1,AQP9,2,1,1
dx,1,AREG,1,1,1
dx,1,ARHGAP11A,2,1,1
dx,1,ARHGAP22,2,1,1
dx,1,ARHGAP31,2,1,1
dx,1,ARHGAP33,2,1,1
dx,1,ARHGAP6,2,1,1
dx,1,ARHGEF37,2,1,1
dx,1,ARHGEF40,2,1,1
dx,1,ARHGEF9,2,1,1
dx,1,ARID3A,2,1,1
dx,1,ARID5A,2,1,1
dx,1,ARID5B,2,1,1
dx,1,ARL2,2,1,1
dx,1,ARL4A,2,1,1
dx,1,ARL4C,2,1,1
dx,1,ARL4D,2,1,1
dx,1,ARRDC3,2,1,1
dx,1,ASCC3,2,1,1
dx,1,ASGR2,2,1,1
dx,1,ASRGL1,2,1,1
dx,1,ATF2,2,1,1
dx,1,ATF3,2,1,1
dx,1,ATF5,2,1,1
dx,1,ATF7IP2,2,1,1
dx,1,ATG2B,2,1,1
dx,1,ATG9B,2,1,1
dx,1,ATMIN,2,1,1
dx,1,ATP10A,2,1,1
dx,1,ATP1B1,2,1,1
dx,1,ATP2B1,2,1,1
dx,1,ATP5B,1,1,1
dx,1,ATP5SL,2,1,1
dx,1,ATP8B3,2,1,1
dx,1,ATRIP,2,1,1
dx,1,ATXN7L1,2,1,1
dx,1,ATXN7L3B,2,1,1
dx,1,AVL9,2,1,1
dx,1,B2M,2,1,1
dx,1,B3GALNT1,2,1,1
dx,1,B4GALT1,0,0.5,1
dx,1,B4GALT7,2,1,1
dx,1,BAG5,2,1,1
dx,1,BAI3,2,1,1
dx,1,BANK1,2,1,1
dx,1,BASP1,2,1,1
dx,1,BATF,2,1,1
dx,1,BATF3,2,1,1
dx,1,BAZ2B,2,1,1
dx,1,BBX,2,1,1
dx,1,BCAS4,2,1,1
dx,1,BCL11A,2,1,1
dx,1,BCL2,2,1,1
dx,1,BCL2A1,3,0.5,1
dx,1,BCL7A,2,1,1
dx,1,BDP1,3,0.5,1
dx,1,BEGAIN,2,1,1
dx,1,BEX4,2,1,1
dx,1,BHLHE40,2,1,1
dx,1,BICC1,0,0.5,1
dx,1,BID,0,0.5,1
dx,1,BIRC3,2,1,1
dx,1,BLK,1,1,1
dx,1,BLOC1S3,2,1,1
dx,1,BLVRA,3,0.5,1
dx,1,BMP1,2,1,1
dx,1,BMP2K,2,1,1
dx,1,BPI,2,1,1
dx,1,BPNT1,2,1,1
dx,1,BRD8,2,1,1
dx,1,BRI3BP,2,1,1
dx,1,BTBD11,2,1,1
dx,1,BTD,2,1,1
dx,1,BTG2,2,1,1
dx,1,BTNL8,1,1,1
dx,1,BTNL9,2,1,1
dx,1,BYSL,2,1,1
dx,1,BZRAP1,2,1,1
dx,1,BZW2,2,1,1
dx,1,C10orf111,2,1,1
dx,1,C10orf118,2,1,1
dx,1,C10orf128,2,1,1
dx,1,C11orf21,2,1,1
dx,1,C11orf35,2,1,1
dx,1,C11orf63,2,1,1
dx,1,C12orf4,2,1,1
dx,1,C12orf45,2,1,1
dx,1,C12orf49,2,1,1
dx,1,C12orf5,2,1,1
dx,1,C12orf57,1,1,1
dx,1,C12orf65,1,1,1
dx,1,C14orf182,2,1,1
dx,1,C15orf38,2,1,1
dx,1,C15orf48,2,1,1
dx,1,C16orf54,2,1,1
dx,1,C16orf58,2,1,1
dx,1,C16orf72,2,1,1
dx,1,C17orf103,2,1,1
dx,1,C17orf104,2,1,1
dx,1,C17orf107,2,1,1
dx,1,C17orf51,2,1,1
dx,1,C17orf59,2,1,1
dx,1,C18orf8,2,1,1
dx,1,C19orf33,2,1,1
dx,1,C19orf59,2,1,1
dx,1,C1QA,0,0.5,1
dx,1,C1QB,2,1,1
dx,1,C1QBP,1,1,1
dx,1,C1QC,2,1,1
dx,1,C1orf21,2,1,1
dx,1,C1orf213,2,1,1
dx,1,C1orf35,2,1,1
dx,1,C1orf54,2,1,1
dx,1,C1orf56,0,0.5,1
dx,1,C1orf61,1,1,1
dx,1,C2,2,1,1
dx,1,C20orf201,2,1,1
dx,1,C22orf29,2,1,1
dx,1,C2orf27A,2,1,1
dx,1,C2orf44,2,1,1
dx,1,C2orf62,2,1,1
