metavar,cluster,gene,statistic,p.value,FDR
mut,1,AASDH,1,1,1
mut,1,ABCA1,1,1,1
mut,1,ABCE1,1,1,1
mut,1,ABHD12,1,1,1
mut,1,ABHD2,1,1,1
mut,1,ABHD5,1,1,1
mut,1,ABI3,1,1,1
mut,1,ABL2,1,1,1
mut,1,ABLIM3,1,1,1
mut,1,ACBD3,1,1,1
mut,1,ACBD5,1,1,1
mut,1,ACN9,1,1,1
mut,1,ACPL2,1,1,1
mut,1,ACRBP,1,1,1
mut,1,ACSS2,1,1,1
mut,1,ACTA2,1,1,1
mut,1,ACTB,1,1,1
mut,1,ACVR1B,1,1,1
mut,1,ACY3,1,1,1
mut,1,ADA,1,1,1
mut,1,ADAL,1,1,1
mut,1,ADAM19,1,1,1
mut,1,ADAMDEC1,1,1,1
mut,1,ADAP2,1,1,1
mut,1,ADCK2,1,1,1
mut,1,ADCY3,1,1,1
mut,1,ADIPOR2,1,1,1
mut,1,ADK,1,1,1
mut,1,ADM,1,1,1
mut,1,ADORA2B,1,1,1
mut,1,ADPRHL2,1,1,1
mut,1,ADRA2B,1,1,1
mut,1,ADRB1,1,1,1
mut,1,AGA,1,1,1
mut,1,AGBL2,1,1,1
mut,1,AGFG2,0,1,1
mut,1,AGO1,1,1,1
mut,1,AGPAT4,1,1,1
mut,1,AHI1,1,1,1
mut,1,AHSA2,1,1,1
mut,1,AIF1,0,1,1
mut,1,AIFM1,1,1,1
mut,1,AIFM2,1,1,1
mut,1,AK8,1,1,1
mut,1,AKAP11,1,1,1
mut,1,AKIRIN1,1,1,1
mut,1,AKR1B1,1,1,1
mut,1,AKR1E2,1,1,1
mut,1,AKT2,1,1,1
mut,1,AKT3,1,1,1
mut,1,ALAD,1,1,1
mut,1,ALDH1A1,1,1,1
mut,1,ALDH4A1,1,1,1
mut,1,ALDH6A1,1,1,1
mut,1,ALMS1,1,1,1
mut,1,ALOX5AP,0,1,1
mut,1,AMBRA1,1,1,1
mut,1,ANAPC7,1,1,1
mut,1,ANG,1,1,1
mut,1,ANKDD1A,1,1,1
mut,1,ANKRD22,1,1,1
mut,1,ANKRD26,1,1,1
mut,1,ANKRD28,1,1,1
mut,1,ANKRD32,1,1,1
mut,1,ANKRD37,1,1,1
mut,1,ANKRD46,1,1,1
mut,1,ANO10,1,1,1
mut,1,ANXA1,0,1,1
mut,1,ANXA2,0,1,1
mut,1,ANXA2R,1,1,1
mut,1,AP1S3,1,1,1
mut,1,AP3M1,1,1,1
mut,1,AP5M1,1,1,1
mut,1,APBB3,1,1,1
mut,1,API5,1,1,1
mut,1,APOA1,1,1,1
