gene_short_name,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
CD52,OK,dxPD,-0.2963934,0.0126408,-23.4473,6.87e-120,-0.426395459055803,count,1.0186149e-115
TXNDC15,OK,dxPD,2.227596,0.0998177,22.3166,6.23e-109,3.10251739274922,count,9.236598e-105
FOLR3,OK,dxPD,1.274809,0.0578262,22.0455,2.22e-106,1.74322189210428,count,3.29115e-102
TMSB4X,OK,dxPD,-0.0890585,0.0044454,-20.0339,2.25e-88,-0.1284518339091,count,3.3354e-84
HLA-DRB5,OK,dxPD,-0.4927884,0.0248036,-19.8676,5.84e-87,-0.699309432206859,count,8.656632e-83
MNDA,OK,dxPD,-0.3124428,0.0171436,-18.225,1.37e-73,-0.447297435196086,count,2.030614e-69
MT-ND3,OK,dxPD,0.2035351,0.0113702,17.9007,4.42e-71,0.292601443875662,count,6.550882e-67
LGALS1,OK,dxPD,0.1797546,0.0109076,16.4798,1.34e-60,0.258592546785029,count,1.98588e-56
LGALS2,OK,dxPD,-0.2896545,0.0182539,-15.8681,2.41e-56,-0.41436292430167,count,3.571379e-52
UBC,OK,dxPD,0.3146798,0.0198615,15.8437,3.54e-56,0.448961508558077,count,5.245572e-52
MT-ND4,OK,dxPD,0.1562617,0.0101062,15.462,1.32e-53,0.224775545430779,count,1.955844e-49
SMDT1,OK,dxPD,0.4407714,0.0309974,14.2196,1.18e-45,0.617373396596279,count,1.748288e-41
RPS19,OK,dxPD,-0.1084652,0.0085546,-12.6792,1.08e-36,-0.156268344845645,count,1.60002e-32
DUSP6,OK,dxPD,-0.4651759,0.0379346,-12.2626,1.94e-34,-0.64436821607951,count,2.873916e-30
HLA-C,OK,dxPD,-0.1430465,0.0120556,-11.8655,2.32e-32,-0.205394810020642,count,3.436616e-28
FTL,OK,dxPD,0.0648889,0.0054775,11.8465,2.91e-32,0.0935793589348175,count,4.310292e-28
IL8,OK,dxPD,0.3403086,0.029001,11.7344,1.09e-31,0.484069775589233,count,1.614399e-27
FCER1G,OK,dxPD,-0.1157982,0.0098822,-11.7179,1.32e-31,-0.166599617071222,count,1.95492e-27
CD9,OK,dxPD,-0.9581754,0.0818408,-11.7078,1.49e-31,-1.1297721311665,count,2.206541e-27
DYNLL1,OK,dxPD,-0.3154906,0.027558,-11.4483,3.01e-30,-0.444315994348125,count,4.457208e-26
FCGR3A,OK,dxPD,-0.52736,0.0461343,-11.431,3.67e-30,-0.724482756463183,count,5.434169e-26
CALM2,OK,dxPD,-0.1662045,0.0146729,-11.3273,1.19e-29,-0.238165147361342,count,1.761914e-25
RPL8,OK,dxPD,-0.1013688,0.0095784,-10.583,4.22e-26,-0.145799753734419,count,6.24771e-22
TIPARP,OK,dxPD,0.7083407,0.0679285,10.4277,2.17e-25,0.918634114072108,count,3.212468e-21
FCN1,OK,dxPD,0.1108059,0.0108585,10.2046,2.18e-24,0.159351695103975,count,3.227054e-20
RPL21,OK,dxPD,0.065508,0.0064223,10.2001,2.29e-24,0.0943962893565634,count,3.389658e-20
GIMAP4,OK,dxPD,-0.5017861,0.0492808,-10.1822,2.75e-24,-0.669688957391946,count,4.070275e-20
S100A12,OK,dxPD,0.1994615,0.0197995,10.0741,8.25e-24,0.286515263901283,count,1.221e-19
SH3BGRL3,OK,dxPD,0.0990799,0.0100448,9.8638,6.78e-23,0.142503202016507,count,1.0033722e-18
S100A9,OK,dxPD,0.1139034,0.0115592,9.8539,7.47e-23,0.164218775018175,count,1.1054106e-18
GIMAP7,OK,dxPD,-0.7108663,0.072251,-9.8388,8.67e-23,-0.864805566173303,count,1.2828999e-18
EMP3,OK,dxPD,-0.135371,0.0144033,-9.3986,6.13e-21,-0.194095830217517,count,9.069948e-17
VSTM1,OK,dxPD,1.089672,0.1164216,9.3597,8.86e-21,1.20334053554731,count,1.310837e-16
S100A11,OK,dxPD,-0.103212,0.0110844,-9.3114,1.39e-20,-0.148373372379875,count,2.056366e-16
MT-ATP6,OK,dxPD,0.1044299,0.0113959,9.1638,5.5e-20,0.150103590823437,count,8.13615e-16
PIM3,OK,dxPD,0.5914505,0.0650732,9.089,1.09e-19,0.764438632847051,count,1.612328e-15
CDKN1A,OK,dxPD,0.3595172,0.0399533,8.9984,2.5e-19,0.494782332292224,count,3.69775e-15
RPS13,OK,dxPD,0.0699395,0.0077758,8.9945,2.59e-19,0.100717638459878,count,3.83061e-15
LST1,OK,dxPD,-0.0964452,0.0110066,-8.7625,2.07e-18,-0.138764508857,count,3.061323e-14
TUBA1A,OK,dxPD,-0.2502408,0.0285809,-8.7555,2.2e-18,-0.351957246015863,count,3.25336e-14
POU2F2,OK,dxPD,-0.3424636,0.0394514,-8.6806,4.25e-18,-0.469731162448608,count,6.284475e-14
CXCR4,OK,dxPD,-0.4937708,0.0569038,-8.6773,4.37e-18,-0.644812099435932,count,6.461482e-14
CEBPD,OK,dxPD,-0.1983451,0.0231346,-8.5735,1.08e-17,-0.281554150741726,count,1.59678e-13
CARD16,OK,dxPD,-0.151849,0.0179557,-8.4569,2.94e-17,-0.216754338708758,count,4.346496e-13
ZFP36L2,OK,dxPD,-0.2398785,0.0283798,-8.4524,3.05e-17,-0.33763957012857,count,4.508815e-13
HSPA1A,OK,dxPD,-0.7578797,0.0930964,-8.1408,4.16e-16,-0.877000638806724,count,6.149312e-12
