Module1.name,Module2.name,Module1.size,Module2.size,Module1.proportion.overlap,Module2.proportion.overlap,intersection.size,union.size,genome.size,p.value,odds.ratio,Jaccard.index,FDR,Bonferroni
green,3,534,103,0.103,0.534,55,582,15712,1.49103340748044e-53,36.1532444757371,0.0945017182130584,1.67293948319305e-50,1.67293948319305e-50
pink,5,236,104,0.178,0.404,42,298,15712,6.26644035629204e-50,53.7235055026169,0.140939597315436,3.51547303987984e-47,7.03094607975967e-47
lightyellow,3,130,103,0.146,0.184,19,214,15712,9.65294690235825e-21,31.5398218336782,0.088785046728972,3.61020214148198e-18,1.0830606424446e-17
red,4,517,70,0.048,0.357,25,562,15712,7.85256441548934e-20,17.0926458720899,0.0444839857651246,2.20264431854476e-17,8.81057727417904e-17
red,11,517,98,0.052,0.276,27,588,15712,5.49013902491986e-18,11.729638114652,0.0459183673469388,1.23198719719202e-15,6.15993598596009e-15
skyblue1,8,35,63,0.257,0.143,9,89,15712,9.608788810518e-15,99.6396160329833,0.101123595505618,1.79684350756687e-12,1.07810610454012e-11
yellowgreen,12,72,25,0.097,0.28,7,90,15712,1.41624670974482e-11,93.0018609141156,0.0777777777777778,2.27004115476242e-09,1.58902880833369e-08
darkmagenta,17,148,65,0.068,0.154,10,203,15712,4.65487707850529e-10,20.4069236155367,0.0492610837438424,6.52846510260367e-08,5.22277208208294e-07
darkmagenta,14,148,76,0.061,0.118,9,215,15712,3.8081967340493e-08,14.9670715801111,0.0418604651162791,4.74755192844813e-06,4.27279673560331e-05
darkmagenta,6,148,47,0.047,0.149,7,188,15712,2.61832597627357e-07,19.2581695864552,0.0372340425531915,2.93776174537894e-05,0.000293776174537894
darkmagenta,2,148,56,0.047,0.125,7,197,15712,8.99577569113133e-07,15.7079717319933,0.0355329949238579,9.17569120495396e-05,0.00100932603254494
sienna3,6,72,47,0.069,0.106,5,114,15712,2.31784739320918e-06,27.6842851365542,0.043859649122807,0.000216718731265058,0.0026006247751807
lavenderblush3,17,41,65,0.098,0.062,4,102,15712,2.40778632968841e-05,27.6339447656328,0.0392156862745098,0.00207810481685415,0.0270153626191039
black,15,243,42,0.025,0.143,6,279,15712,4.2338221162879e-05,10.8466053170865,0.021505376344086,0.00339310601033931,0.0475034841447503
plum1,7,69,55,0.058,0.073,4,120,15712,9.812011362318e-05,18.7959690906195,0.0333333333333333,0.00733938449901387,0.110090767485208
purple,13,225,54,0.027,0.111,6,273,15712,0.000117376178160351,8.80801784446169,0.021978021978022,0.00823100449349458,0.131696071895913
