gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
RPS19,RPS19,2,0.580978744909463,14.2430888437114,1,0.580978744909463,0.526138066858715,0,0
FTL,FTL,2,0.496268042895678,35.1335713190598,1,0.496268042895678,0.161385989382986,0,0
FTH1,FTH1,2,0.507929760237468,23.5709080787032,1,0.507929760237468,0.159074142553974,1.1125369292536e-308,1.11253692926825e-308
TMSB4X,TMSB4X,1,0.405325279656421,38.2704472212849,1,0.405325279656421,0.107530061583995,8.4356827657048e-217,2.5015173673421e-212
TMSB4X,TMSB4X,2,0.478942947625423,47.1066378429946,1,0.478942947625423,0.107530061583995,8.43568276571249e-217,2.50151736734438e-212
B2M,B2M,2,0.478384868884121,24.5212327759654,1,0.478384868884121,0.0897345534913455,1.75197013280077e-180,5.19529223180741e-176
TMSB10,TMSB10,2,0.44141000691791,11.7486985951438,1,0.44141000691791,0.00066144815131831,0.0149643217399711,1
FTL,FTL,1,0.388090009494043,25.8756579475644,0.999882759833519,0.388135514566388,0.161385989382986,0,0
B2M,B2M,1,0.405665759426767,19.9844764976018,0.999472419250835,0.405879893845233,0.0897345534913455,1.75197013279917e-180,5.19529223180267e-176
ACTB,ACTB,2,0.499805872047177,12.2640673946714,0.999460043196544,0.500075891426997,0.120258398379277,5.69731665722451e-243,1.68948228153336e-238
RPL34,RPL34,2,0.405960324642368,10.4806188831905,0.999460043196544,0.406179644104627,0.0285479438778788,6.87077268735367e-58,2.03745893270786e-53
LYZ,LYZ,1,0.69273128268618,18.4451933178686,0.999179318834633,0.693300261152452,0.592345084974747,0,0
LST1,LST1,2,0.591710493416665,7.67238058110933,0.998920086393089,0.592350180436575,0.406036022029963,0,0
RPS27,RPS27,2,0.465911574398078,13.7196347805784,0.998920086393089,0.466415262586616,0.0356300662613787,6.50493868413898e-72,1.92897451739457e-67
S100A8,S100A8,1,0.726941842958422,26.8973420304308,0.998358637669265,0.7281369795683,0.497857144415219,0,0
RPL21,RPL21,2,0.450031525585153,8.91566265336103,0.997840172786177,0.451005619796377,0.00539475146157352,3.57830992960414e-12,1.06111202652481e-07
FTH1,FTH1,1,0.375779553941553,16.2444361640022,0.997831056920101,0.376596370032249,0.159074142553974,1.1125369292536e-308,1.11253692926825e-308
RPL34,RPL34,1,0.477018308394778,12.8379790019056,0.99777243683686,0.478083269073881,0.028547943877879,6.87077268734736e-58,2.03745893270599e-53
RPL10,RPL10,2,0.463471693677403,9.07962703717971,0.996760259179266,0.464978102215899,0.0220702758107734,4.30546164364361e-45,1.27674159580608e-40
RPLP1,RPLP1,2,0.379053141148838,7.36629850404176,0.99622030237581,0.380491283147777,0.0440018888876667,1.53109413033528e-88,4.54030653409623e-84
RPS14,RPS14,2,0.417745390463728,8.10174728748488,0.99622030237581,0.419330332324566,0.0058560793980264,4.34058405409709e-13,1.28715679540195e-08
TMSB10,TMSB10,1,0.440745505785879,11.7929151845133,0.99548625359048,0.442743939653828,0.000661448151318545,0.0149643217399557,1
S100A4,S100A4,2,0.4771952557275,10.0041636321383,0.995140388768899,0.479525563541687,0.0351702584097727,5.30742197247353e-71,1.5738629117173e-66
S100A6,S100A6,2,0.414674139289765,7.58554590193757,0.994600431965443,0.416925356115442,0.00750228375461967,2.37674264085498e-16,7.04799262719136e-12
