,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CD74,2.51861072325524e-77,0.838823058181698,1,1,6.2748667559181e-73
HLA-DRA,3.17858671972508e-75,0.937355895645491,1,0.996,7.91913095352307e-71
HLA-DPA1,3.8775748880668e-57,1.09604445989417,1,0.926,9.66059007612964e-53
S100A8,2.57142305726806e-56,-0.954523947405871,1,1,6.40644340487765e-52
HLA-DPB1,5.02462678186479e-55,1.08139679247633,1,0.948,1.25183551643379e-50
NEAT1,2.73856380020643e-54,-0.806950370215246,0.936,1,6.82285785183431e-50
FCER1A,2.29994293090985e-49,1.98922559560614,0.744,0.07,5.73007781806879e-45
HLA-DQA1,4.86986452245239e-49,1.37011230596097,0.92,0.439,1.21327804712379e-44
S100A9,2.82248857372044e-48,-0.814125833276091,0.992,1,7.03194803256711e-44
FTL,2.81029821246492e-46,-0.487760530441562,1,1,7.00157696653509e-42
FOS,5.05202088010659e-45,-0.478343919422437,1,1,1.25866048206975e-40
TYROBP,4.1166130519569e-44,-0.437188872975145,1,1,1.02561297576454e-39
S100A12,1.39845855038787e-39,-1.10727708715583,0.688,0.952,3.48411963243633e-35
HLA-DQB1,2.05134157423594e-34,1.04448409620887,0.904,0.587,5.11071239805141e-30
HLA-DRB1,1.9867566162644e-32,0.733894499669111,1,0.989,4.94980543376112e-28
CTSS,2.26185203888841e-31,-0.547967628521814,0.944,1,5.63517816968658e-27
RNU1-60P,1.21850096697278e-29,-1.08303015005889,0.536,0.904,3.03577330911598e-25
JUN,3.99225763290502e-26,-0.848976952059337,0.68,0.893,9.94631066661958e-22
DUSP1,1.03124760169535e-25,-0.485178097808362,0.968,0.996,2.56925027486378e-21
HLA-DRB6,2.34306561088615e-22,0.899419132317784,0.96,0.764,5.83751366296175e-18
RPL3,2.58936221889431e-22,0.430444888418571,1,1,6.45113703215328e-18
S100A4,3.0104763150923e-22,-0.249970744923299,1,1,7.50030069142096e-18
CLEC10A,7.59193985465156e-22,1.25142187674729,0.64,0.14,1.89145589538789e-17
PSAP,1.03712009478636e-20,-0.437983856392143,0.968,0.996,2.58388100415073e-16
HLA-DQA2,3.68786500869285e-20,1.07772146516105,0.616,0.225,9.18794688265737e-16
CFD,7.15251639917609e-20,-0.728749309609045,0.496,0.875,1.78197793569073e-15
RPS18,1.34739890827997e-19,0.298793764150855,1,1,3.35690964008871e-15
RNVU1-14,3.53467358581039e-19,-0.867916871739226,0.296,0.694,8.80628577168801e-15
RNVU1-13,3.68250639370488e-18,-0.805274226532782,0.432,0.804,9.17459642927635e-14
S100A6,4.09595014343068e-18,-0.210905947998811,1,1,1.02046501873432e-13
FCN1,5.48234198311449e-18,-0.362513111209972,0.968,1,1.36587068167314e-13
AIF1,2.55909719994137e-17,-0.295189241566378,0.984,1,6.37573476393393e-13
FTH1,1.05784749907219e-16,-0.230120389881778,1,1,2.63552125918847e-12
SAT1,1.1530375773454e-16,-0.414961692655746,0.984,1,2.87267782019834e-12
CST3,1.37953104398282e-16,0.373421510563439,1,1,3.43696364297879e-12
ZFP36,1.39178062819911e-16,-0.469257061988144,0.88,0.945,3.46748225709527e-12
MALAT1,1.98667243047893e-16,-0.122754208934108,1,1,4.9495956932952e-12
VCAN,3.44252681049035e-16,-0.592997418386827,0.624,0.875,8.57671129565565e-12
B2M,3.59481598354961e-16,-0.132915071730006,1,1,8.95612454141549e-12
CD14,5.48421279127055e-16,-0.655868851441581,0.504,0.804,1.36633677481714e-11
FTLP3,6.14440091896365e-16,-0.507605246753024,0.736,0.923,1.5308160449506e-11
RPS6,7.33428364904613e-16,0.348277260219124,1,1,1.82726342832335e-11
HLA-DMA,1.18292680633959e-15,0.607603070951785,0.952,0.775,2.94714384531446e-11
CTSD,1.18460073986663e-15,-0.66812123257957,0.36,0.712,2.95131428330372e-11
TCEB2,1.34899773987911e-15,-0.409941771913949,0.88,0.97,3.36089296913482e-11
LST1,1.56686371194727e-15,-0.300742879696483,1,1,3.90368425194544e-11
NAPSB,1.78998142602807e-15,0.767293968644182,0.68,0.28,4.45955972480635e-11
FOSB,2.41814036903456e-15,-0.509848122214897,0.752,0.915,6.02455491541269e-11
RNU2-59P,2.4778457574401e-15,-0.757270404709307,0.456,0.768,6.17330492008626e-11
LINC00936,7.88477325515215e-15,-0.609934821331773,0.536,0.812,1.96441240878861e-10
CLEC7A,1.24304582003618e-14,-0.595587762363168,0.544,0.834,3.09692435603813e-10
HLA-DRB5,5.65560042680892e-14,0.865616947032722,0.84,0.653,1.40903629033517e-09
RPL27A,7.32783789255152e-14,0.311267766662894,1,1,1.82565753255029e-09
SERPINA1,7.74178486469081e-14,-0.46281812817414,0.792,0.934,1.92878828118907e-09
NFKBIA,9.80785338062272e-14,-0.436231182892313,0.896,0.989,2.44352859124834e-09
EIF1,1.63936931335936e-13,-0.179480827527894,1,1,4.08432470730351e-09
RPSA,3.12268667219582e-13,0.497207147975174,0.968,0.882,7.77986157510867e-09
RPL15,5.94017341903998e-13,0.302568530798784,1,0.996,1.47993480561962e-08
MT-ND2,8.56343690481865e-13,-0.302727430549452,0.96,1,2.13349467046652e-08
RPS2,1.01976779129137e-12,0.274026752700919,1,1,2.54064947522331e-08
HLA-B,1.29824294761138e-12,-0.223455905399291,1,1,3.234442479679e-08
TXNIP,1.44846986996008e-12,-0.513453367968485,0.664,0.86,3.60871783401855e-08
MT-ND1,1.49985628397933e-12,-0.281912430319324,1,0.989,3.7367419459061e-08
KLF6,1.84171914547454e-12,-0.478179606126526,0.76,0.875,4.58845907903527e-08
PFDN5,1.87576976351415e-12,-0.166701231583891,1,1,4.67329278881915e-08
RPLP0,2.33019875402645e-12,0.44440743021466,0.992,0.963,5.8054571757815e-08
IER2,2.61294456669643e-12,-0.475036709803559,0.752,0.93,6.50989009346747e-08
BRI3,4.45690960703838e-12,-0.399011484423625,0.816,0.956,1.11039445949754e-07
RNVU1-19,7.35600763024997e-12,-0.656363143769271,0.288,0.649,1.83267574100048e-07
RPL18A,1.24895816456967e-11,0.266711281516159,1,1,3.11165437120889e-07
RPL35,5.87348591222574e-11,0.308605262127975,1,1,1.46332028017192e-06
S100A11,7.15088515473024e-11,-0.265514228513372,0.984,0.993,1.78157152744949e-06
TYMP,7.23645136363223e-11,-0.353976315857705,0.888,0.941,1.80288949273533e-06
IL8,1.2560006964194e-10,-0.679631713263903,0.408,0.712,3.12920013505929e-06
OAZ1,3.40188007333998e-10,-0.183575963897773,1,1,8.47544401471921e-06
RPS3A,5.76277202088415e-10,0.295886515157125,1,1,1.43573702128308e-05
RPS3,6.24749130930372e-10,0.296995883561116,1,1,1.55649998479993e-05
