p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
5.94215529266778e-58	1.70834420362928	0.277	0.095	8.81043365243852e-54	TXNDC15
3.1832657255764e-41	-0.31448892972058	0.932	0.979	4.71982809131213e-37	CD52
9.8047344930121e-26	-0.267899928246826	0.959	0.983	1.4537479832789e-21	LYZ
8.07348917268491e-13	-0.344433444877044	0.418	0.542	1.19705623963399e-08	HLA-DRB5
9.05092457232993e-12	-0.27434491697279	0.607	0.681	1.34198058633936e-07	FCGR3A
2.39015702690479e-11	0.56071538110223	0.206	0.104	3.54388582379173e-07	C1QA
1.72830693255527e-10	0.271492663930705	0.656	0.572	2.5625606888997e-06	UBC
2.00168631256877e-09	0.307250491203246	0.383	0.263	2.96790029564572e-05	SMDT1
2.6331791592449e-09	0.286332545385565	0.341	0.224	3.90421473941241e-05	CDKN2D
4.37005202946479e-09	-0.281306946515926	0.338	0.393	6.47947614408745e-05	DYNLL1
7.53118136637664e-07	-0.274435028262623	0.216	0.283	0.0111664826119266	ACTR3
2.81302161339579e-06	-0.310466132265517	0.161	0.234	0.0417086714618194	CD55
5.29915249652608e-06	-0.278293564713723	0.164	0.224	0.0785705340659922	TNFSF10
6.83308182674788e-06	0.253030546015784	0.175	0.105	0.101314104245191	CXCL16
1.11655828024389e-05	-0.268574855388208	0.128	0.179	0.165552096211762	FBP1
1.42252303859552e-05	-0.255366819337021	0.055	0.104	0.210917490932557	CX3CR1
3.75725546601666e-05	0.25361355793766	0.232	0.161	0.55708826794629	TMEM176B
4.58362599714655e-05	-0.253261157942575	0.122	0.173	0.679614226596918	GIMAP4
4.64881210965952e-05	-0.253908441586496	0.139	0.205	0.689279371499216	OAS1
0.038997922039706	0.256651196042399	0.148	0.117	1	LYPD2
