p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
3.9024373805256e-20	-2.20887342394599	0.045	0.285	5.7861439041053e-16	GNLY
9.21959816059485e-14	-1.48689726592837	0.138	0.289	1.3669898192714e-09	NKG7
4.23136785485584e-12	-1.40953321874271	0.012	0.145	6.27384911839476e-08	GZMA
3.03872611330998e-10	1.36349916409675	0.255	0.088	4.50551920820471e-06	TXNDC15
7.11887462197962e-10	-1.06029274063717	0.041	0.167	1.05551554020092e-05	CTSW
1.49781975164139e-09	-1.16801046883613	0.014	0.127	2.22081734575869e-05	GZMB
2.60755012683492e-09	0.326320393976815	0.914	0.781	3.86621457305814e-05	LGALS1
4.43746139871097e-09	-1.18535951311861	0.076	0.228	6.57942401586875e-05	IFITM1
6.10114557447003e-09	-1.0633827344627	0.076	0.184	9.04616854326671e-05	CMC1
8.69485341622883e-09	0.359378487916652	0.786	0.566	0.000128918591602425	COTL1
1.05076578504428e-08	-1.02261714154041	0.012	0.11	0.000155797042948515	HOPX
2.39713159224532e-08	0.288540563781787	0.809	0.601	0.000355422701182213	GSTP1
3.33033909406087e-08	0.363689505311625	0.862	0.693	0.000493789377476405	HLA-DRB1
3.56169566343109e-08	-1.15064224825491	0.049	0.175	0.000528092616016928	CCL5
4.50177199664134e-08	-0.327040098908884	0.924	0.952	0.000667477733942011	RPS26
8.43583952364663e-08	-0.377768990443055	0.84	0.899	0.00125078192617109	HLA-C
1.40455450470428e-07	0.443874276013043	0.52	0.303	0.00208253296412503	SMDT1
2.85440375869613e-07	0.254548404364865	0.875	0.711	0.00423222445301876	FCN1
4.10867797767498e-07	0.310869251135794	0.643	0.43	0.0060919368374987	HLA-DQB1
9.02994139609993e-07	0.317323019098744	0.969	0.939	0.0133886941079974	S100A9
1.39178490143184e-06	0.261181488069572	0.316	0.158	0.0206359947335298	PPP1CB
2.3995329902444e-06	-0.831682263119182	0.035	0.127	0.0355778756463538	CST7
1.1427774322199e-05	0.299506315631208	0.688	0.504	0.169439609875244	UBC
1.43003060425183e-05	-0.756470227786915	0.031	0.114	0.212030637692419	CD7
2.63434148134839e-05	-0.726426359105278	0.039	0.136	0.390593811439525	PTPRCAP
2.89200550458847e-05	-0.448704168329191	0.466	0.518	0.428797656165333	IFITM2
3.27576599685591e-05	0.263319916623149	0.827	0.675	0.485697824353826	VIM
4.67963009396335e-05	-0.360684288725559	0.585	0.61	0.693848754031946	HCST
5.48488446625485e-05	0.352585043138885	0.343	0.189	0.813243819811606	YBX3
5.63428153017631e-05	0.349612915338959	0.365	0.206	0.835394922479241	MAP3K8
6.61400643198951e-05	0.258608790246901	0.749	0.588	0.980658733671085	ID2
6.79451304298596e-05	0.260248989626295	0.616	0.443	1	FOSB
8.15083139836023e-05	-0.403213810749217	0.462	0.482	1	TXNIP
8.6784934244026e-05	0.262654755607918	0.618	0.447	1	LAPTM5
9.93802562991207e-05	0.25181125453692	0.587	0.417	1	RAC1
