p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
4.98894453022625e-109	-2.02067849074995	0.098	0.306	7.39710805496647e-105	TXNDC15
4.81747183899567e-99	0.334543193629462	0.983	0.974	7.14286549567888e-95	FOS
1.65872609437994e-84	0.568178861269799	0.684	0.546	2.45939318013713e-80	KLF6
5.64595983897309e-77	0.511513617601328	0.61	0.493	8.3712646532454e-73	ITGB2
3.72647486828612e-72	0.402634740377627	0.854	0.766	5.52524428720782e-68	CD52
1.93795009979343e-63	0.467715581146916	0.724	0.659	2.87339861296372e-59	CRIP1
2.20053068871764e-57	0.710238621485688	0.268	0.133	3.26272685216165e-53	DUSP6
8.31598236307313e-52	0.563498204406102	0.397	0.256	1.23301070497285e-47	DYNLL1
3.20381809670227e-51	0.499306428522315	0.481	0.389	4.75030109198046e-47	RGS2
4.26508222115761e-47	0.346628736208124	0.669	0.627	6.32383740931038e-43	MNDA
2.57453251699266e-40	-0.493781281551593	0.044	0.161	3.81725936294501e-36	TIPARP
6.40194806477754e-40	0.297897210733231	0.856	0.813	9.49216839564567e-36	DUSP1
7.50326460865762e-40	0.541915023826	0.327	0.193	1.11250904352567e-35	TMEM176B
1.48824097943895e-38	0.307643221584361	0.716	0.667	2.20661490021413e-34	ZFP36
1.23217461041128e-31	0.363388801434325	0.471	0.416	1.8269452948568e-27	JUND
5.30498867823372e-31	-0.507680226105577	0.125	0.258	7.86570671321714e-27	HLA-DRB5
6.70576329176089e-29	0.398474733768923	0.327	0.263	9.94263523269388e-25	TUBA1A
8.74264756539469e-29	-0.271103980244342	0.314	0.468	1.29627235452107e-24	CEBPB
8.4876314302391e-28	0.494659732691832	0.193	0.098	1.25846111216155e-23	TMEM176A
3.77598371972985e-27	-0.284273938845148	0.054	0.139	5.59865106124345e-23	LITAF
3.99923661201177e-27	-0.315347163794181	0.392	0.546	5.92966812462985e-23	RPS10
6.29216886461293e-27	0.294681324162006	0.456	0.432	9.3293987755616e-23	MCL1
1.56204069904299e-26	0.51336341967448	0.143	0.078	2.31603774447103e-22	RHOB
1.65723499941029e-25	0.362954100134426	0.373	0.321	2.45718233362564e-21	KLF2
5.12089997243027e-25	0.271189142418592	0.412	0.389	7.59275838912236e-21	CD44
6.48004332829927e-25	-0.356610123789879	0.245	0.384	9.60796024286932e-21	MT2A
8.71708632606104e-25	-0.498068989355933	0.044	0.13	1.29248238956507e-20	THBS1
1.19964701733045e-23	-0.276113462645677	0.144	0.254	1.77871663259585e-19	CDKN1A
1.65805558779746e-23	0.452970943729157	0.14	0.07	2.45839902002729e-19	ANKRD28
3.02695632429001e-23	0.42349745842772	0.298	0.207	4.4880681420248e-19	EGR1
3.72788949500513e-23	0.28268937047369	0.392	0.359	5.5273417542441e-19	BTG1
2.80302166336285e-22	-0.251985252639545	0.144	0.249	4.15604022026809e-18	CDKN2D
1.33605353887232e-21	0.33184353866876	0.267	0.23	1.98096658208599e-17	HNRNPU
2.27344257119624e-21	-0.295279906009457	0.161	0.272	3.37083330031266e-17	NINJ1
3.23978016535702e-21	0.337024805789041	0.22	0.176	4.80362205117486e-17	PTPN6
6.04372615859738e-19	0.401569241869736	0.13	0.071	8.96103277535234e-15	SGK1
9.36499347038135e-19	0.328308929767654	0.368	0.326	1.38854758185344e-14	FOLR3
1.06029832509653e-18	0.381366208965829	0.106	0.054	1.57210432662062e-14	NR4A1
3.49630445839805e-18	0.322287332500245	0.241	0.203	5.18397062046679e-14	MYADM
3.64741964340152e-18	0.287229226567666	0.458	0.405	5.40802910527144e-14	KLF4
4.32243190662962e-18	0.36628846752467	0.106	0.065	6.40886978795974e-14	HIPK3
1.73481842169447e-17	0.437383791675262	0.119	0.068	2.5722152738464e-13	RGCC
3.04150285589808e-17	0.298516594143236	0.207	0.173	4.50963628444008e-13	CD97
1.24327375154485e-16	0.263564399061188	0.253	0.224	1.84340199141555e-12	ABRACL
2.55559682000858e-16	0.25193874073324	0.207	0.183	3.78918340502672e-12	TIMM8B
4.31856464177936e-16	0.254028941236411	0.313	0.283	6.40313579436625e-12	MRPL33
7.32967652944084e-16	0.272123569127063	0.237	0.204	1.08677113902019e-11	MPEG1
1.37787492198038e-15	0.298632915104041	0.192	0.151	2.04297514682031e-11	COX17
2.03554706722337e-15	0.255901342460376	0.313	0.281	3.01810563657209e-11	ZFP36L2
2.65320457498917e-15	0.29066481337794	0.13	0.096	3.93390642333644e-11	EFCAB2
7.89545597210255e-15	0.292301683975384	0.222	0.18	1.17065925698365e-10	SAMHD1
1.67413837514041e-14	0.25628876679337	0.2	0.177	2.48224496882069e-10	PPP1CB
5.15599971587746e-14	0.307853631943122	0.121	0.089	7.6448007787315e-10	GIMAP4
1.70734740208195e-13	0.26074489698507	0.24	0.201	2.53148399306691e-09	SNRPG
4.39637375903466e-13	0.262846684727813	0.162	0.136	6.51850337252069e-09	RAB11FIP1
5.07062149059724e-12	0.274294754646037	0.175	0.14	7.51821048410852e-08	TLE4
9.56404802901979e-12	0.304227671843837	0.203	0.173	1.41806140126276e-07	LILRA5
2.85486028797985e-11	0.27602378157476	0.189	0.16	4.23290134898772e-07	TMEM107
3.05627608006512e-11	0.26724493298051	0.105	0.083	4.53154054391256e-07	C16orf54
7.60946611504829e-11	0.299206524608897	0.115	0.082	1.12825554087821e-06	CDC42EP3
3.85085564571479e-10	-0.333553691152081	0.082	0.141	5.70966366590132e-06	G0S2
