gene_short_name,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
FCGR3A,OK,Cluster2,2.972808,0.0415908,71.4775,0,4.10097367666112,count,0
CDKN1C,OK,Cluster2,2.901234,0.0700881,41.3941,0,3.75081000336213,count,0
RHOC,OK,Cluster2,2.374304,0.0466928,50.8495,0,3.23901765549211,count,0
S100A8,OK,Cluster2,-1.813094,0.0405653,-44.6956,0,-2.61299408852584,count,0
MS4A7,OK,Cluster2,1.626262,0.0359675,45.2148,0,2.28300552067031,count,0
S100A9,OK,Cluster2,-1.555801,0.0326124,-47.7058,0,-2.24132956483903,count,0
LYZ,OK,Cluster2,-1.543545,0.0264466,-58.3645,0,-2.22398934811534,count,0
IFITM3,OK,Cluster2,1.381307,0.0248352,55.619,0,1.97228325172273,count,0
IFITM2,OK,Cluster2,1.2707211,0.021195,59.9537,0,1.81798234540755,count,0
LST1,OK,Cluster2,0.8698333,0.0112815,77.1026,0,1.25230125724979,count,0
RPS19,OK,Cluster2,0.8004409,0.0084935,94.2414,0,1.15355054643835,count,0
SAT1,OK,Cluster2,0.7457553,0.013853,53.8335,0,1.07344707081151,count,0
COTL1,OK,Cluster2,0.7105425,0.0174197,40.7896,0,1.01967023051742,count,0
FCER1G,OK,Cluster2,0.5808667,0.0121641,47.7525,0,0.836091184078902,count,0
AIF1,OK,Cluster2,0.5586517,0.0117974,47.3539,0,0.804440157970996,count,0
FTL,OK,Cluster2,0.3061316,0.0071749,42.6672,0,0.441507517485654,count,0
FTH1,OK,Cluster2,0.3726356,0.0095881,38.8645,1.1125369295551e-308,0.537323374361692,count,1.11254139477161e-308
ACTB,OK,Cluster2,0.3271709,0.0089921,36.3843,3.23e-280,0.471552800062173,count,4.78363e-276
HES4,OK,Cluster2,2.815731,0.0793551,35.4827,4.9e-267,3.51570277974598,count,7.25641e-263
PFN1,OK,Cluster2,0.4245374,0.0126375,33.5934,2.33e-240,0.611000229518297,count,3.450264e-236
FOS,OK,Cluster2,-0.6069577,0.0181781,-33.3895,1.48e-237,-0.873969294431266,count,2.191436e-233
NAP1L1,OK,Cluster2,0.9474863,0.0285251,33.2158,3.5e-235,1.34609802451842,count,5.1821e-231
TMSB4X,OK,Cluster2,0.2076762,0.0064594,32.1511,7.28e-221,0.299542742463101,count,1.077804e-216
CD52,OK,Cluster2,0.5390211,0.0168941,31.906,1.26e-217,0.775749272697394,count,1.865304e-213
