gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ABI3,ABI3,V1,0.292656587473002,0.263587541100313,0.292656587473002,1,0,1,1
ABRACL,ABRACL,V1,0.355831533477322,0.352884220823057,0.355831533477322,1,0,1,1
ACTB,ACTB,V1,0.999460043196544,12.2640673946714,0.999460043196544,1,0,1,1
ACTG1,ACTG1,V1,0.640388768898488,0.880309997660494,0.640388768898488,1,0,1,1
ACTR2,ACTR2,V1,0.278617710583153,0.259036947459329,0.278617710583153,1,0,1,1
ACTR3,ACTR3,V1,0.260259179265659,0.221960290025339,0.260259179265659,1,0,1,1
ADRBK1,ADRBK1,V1,0.198164146868251,0.161885406028261,0.198164146868251,1,0,1,1
ADRM1,ADRM1,V1,0.169546436285097,0.133589665256021,0.169546436285097,1,0,1,1
AGTRAP,AGTRAP,V1,0.207883369330454,0.173439442208302,0.207883369330454,1,0,1,1
AHNAK,AHNAK,V1,0.235961123110151,0.210644562801185,0.235961123110151,1,0,1,1
AIF1,AIF1,V1,0.989200863930886,7.07355939494319,0.989200863930886,1,0,1,1
ALDOA,ALDOA,V1,0.697624190064795,1.004628186466,0.697624190064795,1,0,1,1
AMICA1,AMICA1,V1,0.218142548596112,0.186238743705523,0.218142548596112,1,0,1,1
ANAPC11,ANAPC11,V1,0.335313174946004,0.319566908060262,0.335313174946004,1,0,1,1
ANAPC16,ANAPC16,V1,0.280237580993521,0.248471875134986,0.280237580993521,1,0,1,1
ANP32A,ANP32A,V1,0.239200863930886,0.206568982351309,0.239200863930886,1,0,1,1
ANP32B,ANP32B,V1,0.231641468682505,0.192315031283873,0.231641468682505,1,0,1,1
ANXA1,ANXA1,V1,0.546976241900648,0.762835418810129,0.546976241900648,1,0,1,1
ANXA2,ANXA2,V1,0.620950323974082,0.825329970700247,0.620950323974082,1,0,1,1
ANXA5,ANXA5,V1,0.438984881209503,0.441384660466342,0.438984881209503,1,0,1,1
AP1S2,AP1S2,V1,0.500539956803456,0.581771918327374,0.500539956803456,1,0,1,1
AP2M1,AP2M1,V1,0.169546436285097,0.14412768070149,0.169546436285097,1,0,1,1
AP2S1,AP2S1,V1,0.520518358531318,0.598911904275504,0.520518358531318,1,0,1,1
AP3S1,AP3S1,V1,0.193844492440605,0.163377300393775,0.193844492440605,1,0,1,1
APLP2,APLP2,V1,0.278077753779698,0.24935030660509,0.278077753779698,1,0,1,1
APOBEC3A,APOBEC3A,V1,0.274298056155508,0.312158395422794,0.274298056155508,1,0,1,1
APRT,APRT,V1,0.381209503239741,0.380256944371001,0.381209503239741,1,0,1,1
ARF1,ARF1,V1,0.286717062634989,0.242637475695234,0.286717062634989,1,0,1,1
ARF5,ARF5,V1,0.196544276457883,0.162542272372696,0.196544276457883,1,0,1,1
ARF6,ARF6,V1,0.339092872570194,0.329570972051663,0.339092872570194,1,0,1,1
ARGLU1,ARGLU1,V1,0.180885529157667,0.156417642278042,0.180885529157667,1,0,1,1
ARHGDIA,ARHGDIA,V1,0.192224622030238,0.155839249357723,0.192224622030238,1,0,1,1
ARHGDIB,ARHGDIB,V1,0.759179265658747,1.3027406082203,0.759179265658747,1,0,1,1
ARL6IP5,ARL6IP5,V1,0.3207343412527,0.30374372900347,0.3207343412527,1,0,1,1
ARPC1B,ARPC1B,V1,0.773758099352052,1.32197487282897,0.773758099352052,1,0,1,1
ARPC2,ARPC2,V1,0.834233261339093,1.6240205946478,0.834233261339093,1,0,1,1
ARPC3,ARPC3,V1,0.874730021598272,1.93222888603623,0.874730021598272,1,0,1,1
ARPC4,ARPC4,V1,0.332613390928726,0.32695753773405,0.332613390928726,1,0,1,1
ARPC5,ARPC5,V1,0.559935205183585,0.629112657840262,0.559935205183585,1,0,1,1
ARRB2,ARRB2,V1,0.366090712742981,0.350744697175618,0.366090712742981,1,0,1,1
ASAH1,ASAH1,V1,0.560475161987041,0.67637991110932,0.560475161987041,1,0,1,1
ATG3,ATG3,V1,0.307775377969762,0.288183852884809,0.307775377969762,1,0,1,1
ATOX1,ATOX1,V1,0.255939524838013,0.231536343412556,0.255939524838013,1,0,1,1
ATP1B3,ATP1B3,V1,0.242980561555076,0.203138185213917,0.242980561555076,1,0,1,1
ATP5A1,ATP5A1,V1,0.251619870410367,0.218553163221986,0.251619870410367,1,0,1,1
ATP5B,ATP5B,V1,0.34719222462203,0.325220710977035,0.34719222462203,1,0,1,1
ATP5C1,ATP5C1,V1,0.315334773218143,0.28625312701079,0.315334773218143,1,0,1,1
ATP5D,ATP5D,V1,0.451943844492441,0.468597693120404,0.451943844492441,1,0,1,1
