Module	dxcontrol	dxPD
Module 1	-0.0585842669555048	0.0315245892693835
Module 2	-0.007632302596657	-0.0097837927735392
Module 3	0.00916612023808933	-0.0115083290666532
Module 4	0.00170928623644275	-0.00907881007589305
Module 5	0.0241347134083796	-0.0178812956348658
Module 6	0.0125928483344349	-0.0135027790732826
Module 7	0.00504234685183211	-0.00928341278415609
Module 8	0.0594768132856066	-0.0406372467618573
Module 9	0.0230004764266048	-0.0236732476341531
Module 10	0.0363821719149233	-0.0237381581583724
Module 11	0.0247438200000027	-0.0175270509404358
Module 12	0.341200372707077	-0.163063792925195
Module 13	0.0564004362967496	-0.0366256749785233
Module 14	0.00650745062273466	-0.0161956804663882
Module 15	0.0286820177355296	-0.0206973795965801
Module 16	-0.0407168975089226	0.0171078644565532
Module 17	0.00741481227927549	-0.00978862179435373
Module 18	0.0145736435261142	-0.0131032469899029
Module 19	0.0205963488494137	-0.0204900891828555
Module 20	-0.00618841290748447	-0.00727201483037473
Module 21	0.323175871555515	-0.153880167492513
Module 22	0.0169364026344449	-0.0185586727021271
Module 23	0.162392787391176	-0.0803289579413457
Module 24	0.016906324931429	-0.0168944167316845
Module 25	0.0263807978574266	-0.0205527812210601
Module 26	0.0612602135365358	-0.033965078378819
Module 27	-0.00174497440494154	-0.00740836646548814
Module 28	-0.0100521326306097	-0.0042328025429538
Module 29	-0.0523395944899483	0.024990303803424
Module 30	-0.326409394983674	0.155414623967219
Module 31	-0.148632376139441	0.0726666616431959
Module 32	-0.268133499353583	0.124216679628858
Module 33	0.0386086134974634	-0.027382927980787
Module 34	0.193262459985312	-0.0916857335727786
Module 35	0.129108980300613	-0.0620897974325928
Module 36	0.00589520436996089	-0.00940058287986311
Module 37	0.0348801387133369	-0.0154373327684577
Module 38	0.0737961861087073	-0.0486816918784723
Module 39	0.0660833889108804	-0.045206021229479
Module 40	-0.108348159517422	0.0536478156357634
Module 41	-0.0722798081652001	0.0304065185781315
Module 42	-0.14766412768015	0.0705137995372822
Module 43	-0.00228317376326333	-0.00626783578093326
Module 44	0.245772799883859	-0.118121134200123
Module 45	0.0381814982572474	-0.0276989859069474
Module 46	0.0937332325623087	-0.0467995235140358
Module 47	0.0450747029846603	-0.0480368828545099
Module 48	0.0307249690438773	-0.0263779019630427
