,p_val,avg_logFC,pct.1,pct.2,p_val_adj
FCGR3A,0,2.00879775472033,0.762,0.064,0
RHOC,0,1.4180974871996,0.54,0.064,0
CDKN1C,0,1.31854045213677,0.406,0.024,0
IFITM3,0,1.2410745511098,0.827,0.358,0
MS4A7,0,1.21934365064889,0.615,0.153,0
IFITM2,0,1.14948640715058,0.888,0.46,0
RP11-290F20.3,0,1.03588657313277,0.784,0.314,0
HES4,0,1.02162626221619,0.296,0.021,0
IFITM1,0,1.01105954792859,0.289,0.024,0
LST1,0,0.812898494051001,0.997,0.912,0
RPS19,0,0.772488567583369,0.998,0.979,0
SAT1,0,0.689276280005051,0.986,0.883,0
FCER1G,0,0.540366972100993,0.989,0.906,0
AIF1,0,0.532599047840297,0.989,0.934,0
LYZ,0,-1.40585792512612,0.965,0.999,0
S100A9,0,-1.49368471966488,0.958,0.994,0
S100A8,0,-1.72492319218862,0.979,0.998,0
S100A12,0,-1.84158628752425,0.32,0.768,0
FOS,1.41702059783856e-306,-0.595363585754539,0.943,0.977,3.53036511745499e-302
COTL1,4.73116425486506e-289,0.652928285222044,0.931,0.697,1.17872226245708e-284
FTH1,7.37752951809707e-285,0.349452058845713,0.999,0.998,1.8380377041387e-280
FTL,1.43561300763916e-267,0.285917440872136,1,1,3.57668624723219e-263
RP11-1143G9.4,3.18878301674845e-264,-1.58242143806907,0.705,0.821,7.94453400792708e-260
LTB,1.60890314339431e-252,0.782861520937947,0.276,0.054,4.00842129145258e-248
GPX1,1.10829527202657e-249,-0.873734446730878,0.554,0.778,2.761206840727e-245
LY6E,1.68992128403718e-244,0.778886886488214,0.642,0.277,4.21026988705024e-240
NAP1L1,1.44543189384971e-243,0.763208263349374,0.698,0.332,3.60114902033716e-239
MALAT1,1.78250974735124e-235,0.289268203294495,1,1,4.44094478455088e-231
HLA-DPA1,2.06404571828531e-223,0.696021325101593,0.813,0.482,5.14236350253603e-219
VCAN,1.58516036154951e-215,-1.18085959728509,0.229,0.578,3.94926852476444e-211
ACTB,9.79096533846953e-213,0.316781583784073,0.999,0.989,2.4393211044263e-208
DRAP1,1.46191948715384e-206,0.702833754925306,0.598,0.27,3.64222621029507e-202
ABI3,1.53838561476083e-202,0.679694155644649,0.29,0.072,3.83273392061513e-198
RPLP1,1.86661855084492e-200,-0.327111254197611,0.996,0.993,4.65049345757505e-196
PFN1,3.63289498145115e-200,0.395105941233905,0.98,0.914,9.0509945567874e-196
TUBA1B,4.49887876552533e-197,0.744639259026799,0.467,0.175,1.12085065564298e-192
YBX1,9.83228457504598e-192,0.579939881623247,0.836,0.533,2.44961537902695e-187
MS4A6A,3.59194025740002e-182,-0.999346856354901,0.29,0.593,8.94895995728641e-178
LGALS2,1.1002005426347e-177,-1.05642342975713,0.331,0.605,2.74103963192009e-173
RNU1-60P,5.97589730787875e-170,-1.25610402137981,0.302,0.575,1.48883505528491e-165
