Cluster0_markers,Cluster1_markers
RP4-765C7.2,CDKN1C
RP11-343H5.4,HES4
HLA-DRB5,IFITM1
HLA-DRB6,FTH1
HLA-DPB1,FTL
HLA-DQA1,LTB
hsa-mir-6723,MALAT1
NAMPT,ACTB
,RPLP1
,ABI3
,PFN1
,CD52
,LRRC25
,BCL2A1
,TPT1
,APOBEC3A
,NACA
,GAPDH
,TMSB4XP8
,MYL6
,S100A11
,SERPINA1
,RNVU1-13
,ARPC2
,CD97
,LYN
,SPI1
,CSTB
,CFD
,CD68
,CALM2
,PILRA
,BIN2
,CFL1
,HCK
,FTLP3
,VASP
,KLF3
,CD47
,EMP3
,PTPN6
,NPC2
,RNVU1-19
,PTGES3
,STXBP2
,CAPZB
,NFKBIA
,MT2A
,UCP2
,RPL39
,HSBP1
,ARPC3
,LYST
,HN1
,PTPRC
,LILRB2
,PPP1CA
,WARS
,CHCHD10
,MYL12B
,UQCRB
,CDC42
,PRELID1
,TNFRSF1B
,CCDC12
,POU2F2
,CIRBP
,CMTM6
,IKZF1
,HLA-E
,LILRA5
,FTH1P8
,SEPT9
,CAPG
,CEBPB
,SLC25A5
,CORO1A
,CNIH4
,NDUFA4
,ISG15
,PFN1P1
,TBXAS1
,CSK
,PSMA4
,FKBP1A
,ZNF706
,C14orf2
,H2AFZ
,PGK1
,ATG3
,AP1S2
,WASF2
,ARPC5
,LIMD2
,RHOG
,C1orf56
,TPM3
,CAPZA1
,SRI
,UBBP4
,RP11-347P5.1
,MARCKS
,ZFP36
,TBCB
,TXN
,APLP2
,TALDO1
,CKLF
,HCST
,PLP2
,NDUFB1
,LY86
,MRPL33
,GLRX
,AHNAK
,HLA-DMA
,HMGB2
,TNFSF13B
,CTSD
,AC016739.2
,AMICA1
,ZFP36L2
,SERPINB1
,AGTRAP
,CPVL
,PCBP2
,LAMTOR1
,RP11-325F22.4
,ZFP36L1
