gene_short_name,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
CD52,OK,mutPD,-0.5039342,0.0464295,-10.8537,7.4e-26,-0.725393502876223,count,1.097198e-21
TXNDC15,OK,mutPD,3.026103,0.3545002,8.5363,5.95e-17,4.20123599897131,count,8.82147e-13
HLA-DRB5,OK,mutPD,-0.6785157,0.0982039,-6.9093,9.29e-12,-0.963465526044187,count,1.3772425e-07
RPS3A,OK,mutPD,0.2790576,0.0410189,6.8031,1.88e-11,0.401265453185865,count,2.786912e-07
CST3,OK,mutPD,0.2546737,0.0385183,6.6118,6.55e-11,0.36669108692796,count,9.709065e-07
HLA-B,OK,mutPD,0.2869662,0.04348,6.6,7.06e-11,0.41271716669822,count,1.0464332e-06
UBC,OK,mutPD,-0.4008962,0.0617679,-6.4904,1.42e-10,-0.573559276249189,count,2.104582e-06
RPS16,OK,mutPD,-0.2729678,0.043378,-6.2928,4.89e-10,-0.392140061918472,count,7.24698e-06
S100A4,OK,mutPD,-0.1851243,0.0302495,-6.1199,1.4e-09,-0.266804741129623,count,2.07466e-05
RPLP1,OK,mutPD,0.1400184,0.0309483,4.5243,6.88e-06,0.201718558039098,count,0.10194784
TPT1,OK,mutPD,0.2267788,0.0508069,4.4635,9.1e-06,0.325505939924936,count,0.1348347
TMEM176B,OK,mutPD,0.8924156,0.205517,4.3423,1.57e-05,1.21490426783206,count,0.2326112
RPS26,OK,mutPD,0.2174887,0.0504993,4.3068,1.84e-05,0.312241712752275,count,0.272596
JUN,OK,mutPD,-0.4550099,0.1061569,-4.2862,2.02e-05,-0.644499654174609,count,0.2992428
TIMP1,OK,mutPD,0.3152546,0.0751629,4.1943,3.01e-05,0.450237948569372,count,0.4458713
LILRA3,OK,mutPD,-0.8151363,0.2002595,-4.0704,5.11e-05,-1.08066254397228,count,0.7568932
ELP4,OK,mutPD,-19.273668,1573.5633666,-0.0122,0.99,-1.4747521824493,count,1
MIER3,OK,mutPD,-19.273668,1573.5633666,-0.0122,0.99,-1.4747521824493,count,1
GYS1,OK,mutPD,-19.05052,1935.3429582,-0.0098,0.992,-1.27708491803158,count,1
KIF18A,OK,mutPD,-19.05052,1935.3429582,-0.0098,0.992,-1.27708491803158,count,1
TCEANC,OK,mutPD,-19.05052,1576.4114523,-0.0121,0.99,-1.27708491803158,count,1
ZNF891,OK,mutPD,-19.05052,1935.3429582,-0.0098,0.992,-1.27708491803158,count,1
ANKRD36C,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
ARL15,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
ATRIP,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
BRCA1,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
BTRC,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
C19orf47,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
CBWD6,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
COX7A1,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
DHRS9,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
HECW2,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
LAMA2,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
MSMO1,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
NEUROD2,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
PINLYP,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
RTN4IP1,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
SNX32,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
STARD4,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
STEAP4,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
STS,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
SYNJ2,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
TMCO4,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
TPRN,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
YPEL1,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
ZFP90,OK,mutPD,-18.762843,2043.204238,-0.0092,0.993,-1.0479683058163,count,1
ZNF81,OK,mutPD,-18.762843,1579.2544051,-0.0119,0.991,-1.0479683058163,count,1
ABCA2,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ABCC11,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ABCC6,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ABCC9,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ACE,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ACOT2,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ACP6,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ACY1,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ADAM12,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ADAT3,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ADCY6,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
ADRB1,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
AGFG2,OK,mutPD,-18.66423,2613.0995582,-0.0071,0.994,-0.439220738037937,count,1
